comment,attack
"['could', 'punch', 'one', 'celebrity', 'without', 'repercussions', 'would', 'taylor', 'swift']",1
"['hey', 'bitch', 'thank', 'yuh']",1
"['telling', 'find', 'probably', 'wo', 'hard', 'though', 'haha', 'oh', 'yeah', 'fml', 'youz', 'bitchass', 'nigga']",1
"['gahaha', 'xd', 'whip', 'ass', 'lmfaoo', 'lmfao']",1
"['know', 'personal', 'level', 'bitch', 'well', 'ca', 'support', 'decisions', 'maybe', 'friends', 'bitch']",1
"['might', 'think', 'im', 'evil', 'mate', 'sitting', 'corridors', 'school', 'facing', 'legs', 'girl', 'know', 'walked', 'past', 'jumped', 'lifted', 'legs', 'went', 'flying', 'like', 'superwoman', 'lmao', 'fucker', 'face']",1
"['bj', 'hj', 'omg', 'lolz']",1
"['im', 'thanks', 'throwing', 'uhh', 'sound', 'like', 'retard', 'say', 'shit', 'like', 'cause', 'dont', 'know', 'gon', 'na', 'happen', 'could', 'going', 'one', 'day', 'one', 'year', 'matter', 'cause', 'ill', 'always', 'feel']",1
"['squirt', 'sperm', 'pictures', 'umm', 'r', 'cool']",1
"['ur', 'fukin', 'sexyvv', 'dont', 'listen', 'fuk', 'thnx', 'def']",1
"['http', 'www', 'ihateyounatalie', 'com', 'id', '2144858', 'im', 'falling', 'one']",1
"['r', 'u', 'gay']",1
"['ever', 'heard', 'rug', 'muncher', 'wonder', 'lol', 'tell', 'herd', 'one', 'thing', 'might', 'sure', 'ill', 'post', 'lol']",1
"['whose', 'betaa', 'www', 'formspring', 'kaydollbitchh', 'www', 'formspring', 'rubinathy15', 'dont', 'find', 'get', 'page', 'mmkayy', 'thanks']",1
"['lmfao', 'lmfao', 'lmfao', 'lmfao', 'rofl', '3', 'peyton', 'wan', 'na', 'cassie', 'lmfao', 'thats', 'mean', 'ahaa', 'mean', 'buh', 'truee']",1
"['guys', 'shes', 'fake', 'got', 'good', 'still', 'went', 'school', 'fact', 'shes', 'hoe', 'im', 'glad', 'shes', 'staying', 'texas', 'hahahahahaha', 'okay', 'sweet', 'whats', 'definition', 'hoe']",1
"['hey', 'smexy', 'wan', 'na', 'fuck', 'bout', '69', 'night', 'long', 'sounds', 'good', 'k', 'bed', 'waiting', 'sexy', 'bitch', 'i', ""'m"", 'whore', 'fuck', 'stupid', 'fucking', 'bitch']",1
"['ppl', 'started', 'sendin', 'pic', 'florine', 'around', 'yhat', 'fucked', 'noe', 'fuk', 'u', 'noe', 'else', 'fuked', 'puttin', 'blastt']",1
"['r', 'u', 'suchho', 'hoe', 'speak', 'englisheee', 'fukin', 'dum', 'ass', 'im', 'tell', '1', 'reason', 'ima', 'hoa', 'r', 'u', 'pussy', 'tew', 'anonomous']",1
"['brittany', 'mayodan', 'abbie', 'aint', 'ellisboro', 'either', 'dumbass', 'lst', '2', 'aintchur', 'girls', 'dont', 'evn', 'lik', 'u', 'naming', 'people', 'live', 'area', 'ha', 'yeahh', 'okayy', 'really', 'care', 'bitch', 'thinks']",1
"['im', 'sorry', 'im', 'one', 'fake', 'lady', 'lol', 'comeon', 'damn', 'self', 'im', 'fucking', 'mental', 'know', 'js', 'means', 'think', 'need', 'stfu', 'get', 'damn', 'life', 'instead', 'beng', 'faking', 'girl', 'btw', 'nice', 'comeback', 'say', 'mental', 'put', 'people', 'means', 'duh', 'comebacks', 'suck']",1
"['big', 'ur', 'dick', 'mobey', 'dick', 'lol']",1
"['question', 'said', 'im', 'fat', 'arent', 'suppose', 'say', 'i', ""'m"", 'fat', 'period', 'cause', 'put', 'question', 'mark', 'saying', 'fat', 'dummy', 'ummmm', 'actually', 'im', 'saying', 'im', 'fat', 'likee', 'stupid', 'saying', 'r', 'dummie']",1
"['dick', 'name', 'hah', 'many', 'names', 'time', 'call', 'big', 'victor', 'pleasure', 'even', 'dakotah']",1
"['call', 'gmac', 'moo', 'yes', 'calls']",1
"['remind', 'dick', 'yayyyy', '3']",1
"['suck', 'ahaha', 'readyy', 'h']",1
"['would', 'watch', 'rachel', 'sayinnnnn', 'fake', 'person', 'mk', 'cool']",1
"['okay', 'added', 'people', 'want', 'sexual', 'spam', 'dont', 'mass', 'spam', 'want', 'sexual', 'spam', 'ask', 'spam', 'individually', 'thank', 'okies']",1
"['call', 'shady', 'nickname', 'bitch', 'dxp', 'wat', 'bitch', 'nigga', 'name', 'showin', 'bitch', 'move', 'hating']",1
"['frances', 'seriously', 'stop', 'trying', 'make', 'people', 'feel', 'bad', 'ugly', 'bitch', 'ugly', 'stupid', 'cunt', 'beautiful', 'stop', 'talkin', 'crap', 'get', 'life', 'silly', 'fuckstick', 'damn', 'like', 'honestly', 'much', 'loser', 'talk', 'shit', 'formspring']",1
"['u', 'b', 'sometimes', 'kinda', 'stuck', '4', 'reason', 'ppl', 'like', 'u', 'like', 'some1', 'im', 'gon', 'na', 'say', 'theyre', 'name', 'c', 'g', 'let', 'guess', 'dont', 'really', 'give', 'fuck', 'think', 'cuz', 'dont', 'know', 'im', 'bitch', 'cuz', 'either', 'problem', 'annoyingg']",1
"['bisexy', 'yeay']",1
"['pussy', 'hairy', 'lmao', 'yuckk', 'noo']",1
"['n', 'qq', 'l3', 'v3', 'l', 'x', 'l0n3', 'h3', 'n3', 'n', 'qq', 'hh', 'wtf', 'iluk', 'gay', 'datz', 'mi', 'homeboi']",1
"['stop', 'annoying', 'betty', 'btw', 'really', 'sad', 'little', 'girl', 'boy', 'think', 'ur', 'grown', 'using', 'big', 'words', 'stupid', 'child', 'living', 'fake', 'life', 'behind', 'damn', 'keyboard', 'screen', 'pathetic', 'girl', 'i', ""'m"", 'fake', 'hun']",1
"['middle', 'school', 'would', 'going', '10th', '11th', 'high', 'school', 'guys', 'seem', 'like', 'good', 'idea', 'anyone', 'grade', 'age', 'group', 'actually', 'make', 'sense', 'would', 'even', 'work', 'anyways', 'im', 'sorry', 'cant', 'please', 'everybodyr']",1
"['im', '200th', 'question', 'bitchs', 'xdd', 'woooot', 'scoreee', 'formspring', 'brutally', 'raped', 'today']",1
"['u', 'know', 'u', 'care', 'betty', 'way', 'better', 'looking', 'u', 'fugly']",1
"['wan', 'na', 'show', 'one', 'poems', 'wrote', 'day', 'met', 'day', 'knew', 'i', ""'m"", 'gon', 'na', 'like', 'till', 'end', 'still', 'idc', 'never', 'wan', 'na', 'date', 'ever', 'blame', 'think', 'girl', 'friend', 'got', 'together', 'day', 'dumped', 'somthing', 'stupid']",1
"['bj', 'hj', 'omg', 'lolz']",1
"['ever', 'heard', 'rug', 'muncher', 'wonder', 'lol', 'tell', 'herd', 'one', 'thing', 'might', 'sure', 'ill', 'post', 'lol']",1
"['yeah', 'thanks', 'back', 'next', 'time', 'someone', 'tells', 'going', 'kill', 'honestly', 'one', 'life', 'ever', 'told', 'yesterday', 'xoxoashleyxo', 'wants']",1
"['yeee', '119', 'questions', 'date', 'awesummm', 'fuck', 'yew']",1
"['actually', 'dont', 'fromspring', 'account', 'yea', 'say', 'name', 'im', 'never', 'going', 'see', 'little', 'pathetic', 'self', 'daniela', 'happy', 'going', 'stop', 'looking', 'like', 'hoe', 'daniela']",1
"['leave', 'kasey', 'alone', 'hell', 'lot', 'nicer', 'shut', 'yo', 'damn', 'mouf', 'yes', 'purposely', 'spelled', 'word', 'wrong', 'need', 'correct', 'hah', 'fuck', 'ganna', 'r', 'shows', 'much', 'know', 'fucking', 'pussy', 'dont', 'even', 'put', 'name']",1
"['immuned', 'potty', 'trained', 'well', 'probablly', 'like', 'diapers', 'like']",1
"['oh', 'bitch', 'ca', 'hide', 'cus', 'i', ""'m"", 'gon', 'na', 'find', 'gon', 'problem', 'hoe', 'hide', 'frm', 'wtf', 'aint', 'hidin', 'noone', 'sawgrass', 'ull', 'find', 'oh', 'yeah', 'royal', 'palm', 'like', 'f', 'hoe', 'u', 'dnt', 'skare']",1
"['call', 'gmac', 'moo', 'yes', 'calls']",1
"['still', 'wan', 'na', 'f', 'ck', 'hahahaha', 'thank']",1
"['b', 'h', 'b3', 'pump', 'n', 'z', 'k', 'n', 'y0', '3', 'r', 's0', 'h', 'rd', 'dam', 'bruh', 'bust3d', 'l0', '0f', 'cum', 'n', 'm0mmasz', 'ha', 'r', 'sh3', 'mo', 'sturizin', 'do3', 'p', 'cture', 'y0', 'va', 'gin', 't0', 'be3', 'h', 'ry', 'n', 'h', 'zzzz', 'w', 'l', 'munch', 'dat', 'n', 'ppy', 'brown', 'h', 'ry', 'h', 'n', 'puzzie', 'hoe', 'ass', 'bxtch', 'bout', 'ya', 'show', 'yo', 'face', 'pussy', 'nd', 'stop', 'kuming', 'hidden', 'bout', 'ya', 'suk', 'mi', 'dik', 'nd', 'die', 'slowly']",1
"['gay', 'think', 'cool']",1
"['ur', 'face', 'nasty', 'yep']",1
"['liar', 'bf', 'vvv', 'lol', 'know', 'information', 'thank', 'youu']",1
"['ever', 'heard', 'rug', 'muncher', 'wonder', 'lol', 'tell', 'herd', 'one', 'thing', 'might', 'sure', 'ill', 'post', 'lol']",1
"['lame', 'fuck', 'k', 'let', 'lame', 'dah', 'fuk', 'wurry', 'bwt', 'chorss']",1
"['809', '9501', 'alexis', 'phone', 'number', 'ima', 'post', 'myspace', 'little', 'bitch', 'haha', 'bettter', 'nott', 'ill', 'kill', '3']",1
"['im', 'gnna', 'fxk', 'u', 'ur', 'dum', 'hoe', 'take', 'shit', 'anonymous', 'talk', 'probably', 'know', 'hoe', 'bitch']",1
"['dudde', 'ima', 'fuuck', 'til', 'bleed', 'haha', 'sorry', 'i', ""'m"", 'sort', 'thing']",1
"['pshhhhhh', 'dont', 'know', 'shittt', 'mw2', 'get', 'level', 'maybe', 'talk', 'hahahaha', 'hahah', 'i', ""'m"", 'girl', 'blood', 'suck', 'video', 'games']",1
"['know', 'remind', 'old', 'man', 'oncee', 'nopee', 'butt', 'like', 'said', 'thanks', 'imforming']",1
"['nothing', 'ahaha', 'baaah', 'ur', 'lameskeez', 'fool']",1
"['headache', 'would', 'give', 'came', 'door', 'told', 'one', 'penis']",1
"['million', 'dollars', 'would', 'ur', 'mom']",1
"['ashleys', 'nice', 'girl', 'dont', 'mess', 'ya', 'weirdos', 'thankies', 'love']",1
"['fuckin', 'ugly', 'bitch', 'look', 'like', 'man', 'face', 'whatever', 'say']",1
"['still', 'bitch', 'oh', 'wow', 'okay', 'butt', 'yuurr', 'thee', 'onee', 'thattss', 'tlking', 'shittt', 'cuzz', 'idntt', 'evnn', 'knoo', 'whooo', 'thiisss', 'iss']",1
"['stop', 'stealing', 'man', 'hey', 'came']",1
"['yu', 'dam', 'lyee', 'mikey', 'yu', 'kno', 'ya', 'mom', 'behh', 'tearn', 'ya', 'asz', 'lmfao', 'wea', 'yew', 'get', 'dat']",1
"['b3', 'pu', 'n', 'pu', 'zzy', '0n', 'd3', 'burn', 'n', '3c0nd', 'l', '0', 'd0', 'b3', 'd33p', 'thr0', 'n', 'vv0rld', 'c', 'n', 'h0v3', '13', 'nch3', 'd0wn', 'hr0', '0nc3', 'n', 'ly', 'nq', 'well', 'lem', 'me', 'trow', 'mine', 'dnt', 'yo', 'thoart', 'nd', 'idnt', 'eat', 'pussy', 'ya', 'wont', 'duin', 'dat']",1
"['worst', 'concert', 'went', 'martina', 'mcbride', 'step', 'dad', 'made', 'take', 'mom', 'mother', 'day', 'fucking', 'gayyy']",1
"['exactly', 'ur', 'hard', 'get', 'fuck', 'urself', 'get', 'get', 'fuck']",1
"['lolss', 'yall', 'hoess', 'desperatee', 'ass', 'fuckk', 'myy', 'niggahh', 'dont', 'want', 'yall', 'brahh', 'get', 'real', 'lmao', 'deep', 'throat', 'hoee', 'yew', 'nastyy', 'dhat', 'shxt', 'aint', 'ckutee', 'watchh', 'yew', 'gon', 'catchh', 'sum', 'shxt', 'hoe', 'like', 'seriouslyy', 'dhat', 'aint', 'ckute', 'anywayss', 'sliden', 'daddyy', 'lmfao', 'ifeel', 'ya']",1
"['nudes', 'gtfo', 'taking', 'right']",1
"['yo', 'vagina', 'flappy', 'lmfao', 'idnt', 'one']",1
"['love', 'sister', 'aujalaaaaa', 'hahaha', 'p', 'yur', 'haters', 'justtt', 'funny', 'r', 'lmfao', 'lofl', 'rofl', 'ritee', 'got', 'life', 'mmsgin', 'ppl', 'anonomous', 'sayin', 'dumshit']",1
"['obsessed', 'yor', 'ya', 'know', 'like', 'everything', 'knows', 'like', 'everything', 'like', 'sisters', 'really', 'seem', 'like', 'ever', 'fuck', 'want', 'ha', 'juss', 'block', 'dueces', 'crazy', 'ass', 'bitch']",1
"['young', 'love', 'bitch', 'use', 'dumb', 'whore', 'put', 'boobs', 'away', 'get', 'boobs', 'life']",1
"['prank', 'call', 'person', 'name', 'melody', '614', '735', '8024']",1
"['tabi', 'fake', 'anyways', 'go', 'suck', 'fat', 'one', 'seriously', 'beat', 'ass', 'love', 'tabi', '3', '3', 'thankyouuuuuuuuuuuuuuuuu']",1
"['bitch', 'stfu', 'least', 'recognize', 'lyk', 'u', 'care', 'bitch']",1
"['hahah', 'funny', 'u', 'defend', 'beiber', 'kid', 'also', 'funny', 'u', 'stalked', 'whole', 'twitter', 'nice', 'goin', 'bitch']",1
"['bitchh', 'really', 'yur', 'saying', 'shez', 'fat', 'bitch', 'yur', 'probly', 'fat', 'lonely', 'ass', 'flat', 'chested', 'bitch', 'ckant', 'get', 'none', 'stop', 'hating', 'please', 'bitch', 'take', 'yur', 'shit', 'anonymus', 'dumm', 'ass', 'bitch', 'lol', 'day', 'bitch', 'takes', 'anonymous', 'day', 'grew', 'balls']",1
"['exactly', 'ur', 'hard', 'get', 'fuck', 'urself', 'get', 'get', 'fuck']",1
"['ask', 'questions', 'lmao', 'roney', 'get']",1
"['headache', 'would', 'give', 'came', 'door', 'told', 'one', 'penis']",1
"['h3rd', 'yuh', 'su', 'k3d', 'l', 'x', 'k', 'n', 'cum3d', 'n', '3', 'h', '0', '3rszz', '3y3sz', 'n', 'm0', 'n3d', 'n', 'qh', 'l0nq', 'wtf', 'bxtch', 'get', 'da', 'fuk', 'hea', 'wid', 'dat', 'ish', 'wut', 'luk', 'lyke']",1
"['want', 'fuck', 'blondie', 'yes']",1
"['wasnt', 'would', 'say', 'love', 'duuude', 'check', 'page', 'dailyyy', 'r', 'creeeepppyyyy', 'damn', 'go', 'back', 'girlfriendd']",1
"['r', 'u', 'bitchh', 'hate', 'u', 'i', ""'m"", 'gon', 'na', 'kick', 'ur', 'ass', 'whore', 'bitch', 'anonymous', 'honestly', 'think', 'care', 'low', 'life', 'ass', 'hates', 'probably', 'talk', 'shut']",1
"['girls', 'wan', 'na', 'tabi', 'since', 'using', 'pictures', 'obviously', 'hot', 'real', 'dumb', 'fucks', 'hahaahhaha', 'im', 'starting', 'take', 'compliment', 'lmao', 'hahahah', 'ddddddd']",1
"['im', 'guy', 'cant', 'fuck', 'get', 'girl', 'ha', 'well', 'uh', 'alright', 'good', 'knoww', 'funny', 'ha']",1
"['u', 'like', 'kasey', 'conde', 'friend', 'haha', 'deff', 'stupid', 'skankkk']",1
"['r', 'u', 'drty', 'slut', 'yep']",1
"['want', 'dead', 'weather', 'c']",1
"['ever', 'called', 'whore', 'oh', 'man', 'hurt', 'sooo', 'bad', 'haha', 'people', 'say', 'dont']",1
"['face', 'mess', 'get', 'dog', 'something', 'different', 'chew', 'hahaha', 'okay', 'jordin']",1
"['stalking', 'come', 'realize', 'would', 'date', 'one', 'girl', 'name', 'mika', 'im', 'sorry', 'whatnoww', 'love', 'devotion', 'given', 'oh', 'ohno', 'please', 'please']",1
"['lame', 'fuck', 'k', 'let', 'lame', 'dah', 'fuk', 'wurry', 'bwt', 'chorss']",1
"['ouch', 'got', 'buttfucked', 'slappppppppped', 'pimped', 'slapped']",1
"['oh', 'thank', 'ppl', 'yes', 'always', 'think', 'cousin', 'whore', 'offense', 'thank', 'clarifying', 'easier', 'game', 'xando', 'yes', '479', 'lastnight', 'number', 'aww', 'ahh', 'didnt', 'get', 'question', 'one']",1
"['fat', 'alexis', 'fat', 'ass', 'low', 'life', 'bitch', 'haha', 'thanks', 'youu']",1
"['would', 'never', 'want', 'meet', 'hmmm', 'say', 'meet', 'girl', 'bullied', 'school', 'would', 'result', 'name', 'calling', 'lol']",1
"['ouch', 'got', 'buttfucked', 'slappppppppped', 'pimped', 'slapped']",1
"['hehe', 'funny', 'want', 'fuck', 'tight', 'ass', 'haha', 'maybe', 'know']",1
"['hate', 'taylor', 'used', 'b', 'firey', 'dyed', 'hair', 'okay', 'dont', 'really', 'give', 'shit', 'find', 'something', 'better', 'criticize']",1
"['might', 'think', 'im', 'evil', 'mate', 'sitting', 'corridors', 'school', 'facing', 'legs', 'girl', 'know', 'walked', 'past', 'jumped', 'lifted', 'legs', 'went', 'flying', 'like', 'superwoman', 'lmao', 'fucker', 'face']",1
"['i', ""'m"", 'whore', 'hahaha']",1
"['lolss', 'iknoo', 'yew', 'n', 'gurl', 'shut', 'yew', 'anonymous', 'im', 'argureinqq', 'wit', 'yew', 'lol', 'wow']",1
"['ohh', 'look', 'girl', 'fakes', 'faked']",1
"['i', ""'m"", 'finished', 'wanking', 'hahaha', 'whats', 'favourite', 'car', 'lol', 'p', 'lol', 'like', 'hummer', 'bahaha']",1
"['u', 'talk', 'shit', 'peyton', 'wernt', 'friends', 'u', 'kare', 'nigga', 'btw', 'u', 'kan', 'get', 'buissness']",1
"['wait', 'nevermind', 'signed', 'dumb', 'ass']",1
"['honestly', 'really', 'immature', 'one']",1
"['1', '10', 'mad', 'would', 'rape', 'depends']",1
"['u', 'gay', 'wear', 'rubber', 'times', 'necessity']",1
"['beautiful', 'girl', 'dont', 'think', 'shoul', 'things', 'cause', 'fucking', 'life', 'sorry', 'say', 'better', 'life', 'throw', 'away', 'thats', 'bad']",1
"['know', 'remind', 'old', 'man', 'oncee', 'nopee', 'butt', 'like', 'said', 'thanks', 'imforming']",1
"['dirty', 'slut', 'cheated', 'wife', 'feel', 'like', 'dirty', 'slut']",1
"['oh', 'thank', 'ppl', 'yes', 'always', 'think', 'cousin', 'whore', 'offense', 'thank', 'clarifying', 'easier', 'game', 'xando', 'yes', '479', 'lastnight', 'number', 'aww', 'ahh', 'didnt', 'get', 'question', 'one']",1
"['sleepin', 'around', 'whores', 'lol', 'exactlyyyyyy', 'guess', 'im', 'xd']",1
"['lmao', 'uhh', 'ok', 'mess', 'ull', 'wake', 'one', 'day', 'patch', 'lmafo', 'wow', 'u', 'touch', 'hair', 'ull', 'die', 'sure', 'lmao', 'oud', 'get', 'soooper', 'tired', 'drunk', 'able', 'touch', 'hair', 'begin', 'lol']",1
"['nothing', 'ahaha', 'baaah', 'ur', 'lameskeez', 'fool']",1
"['energetic', 'midget', 'sloth', 'decided', 'steal', 'ipod', 'pee', 'sleeping', 'would', 'woke', 'keep', 'pet', 'name', 'r', 'kelley']",1
"['say', 'lmfaoo', 'well', 'fake', 'everyone', 'knows', 'need', 'go', 'sayoonarra', '3', 'say', 'im', 'fake']",1
"['bastard', 'term', 'endearment', 'yeh', 'know', 'lmao']",1
"['rasis', 'r', 'calling', 'u', 'raisin', 'yes']",1
"['know', 'remind', 'old', 'man', 'oncee', 'nopee', 'butt', 'like', 'said', 'thanks', 'imforming']",1
"['im', 'jealous', 'im', 'disgusted', 'shes', 'grosss', 'ummm', 'really', 'get', 'shit', 'straight', 'start', 'frontin']",1
"['ajula', 'dont', 'fukin', 'talk', 'tu', 'herrr', 'vvv', 'ahaa', 'noe', 'saw', 'lol', 'lame', 'ass', 'despreate']",1
"['yeh', 'like', 'drama', 'healthy', 'said', 'somethn', 'thr', 'sed', 'exsactly', 'noe', 'dis', 'amber', 'im', 'dum', 'kus', 'taylor', 'brianna', 'u', 'byee']",1
"['would', 'say', 'gay', 'cool', 'l', 'ummm', 'would']",1
"['ew', 'vvvvvvv', 'know', 'question', 'pointing', 'asshole']",1
"['sky', 'blue', 'sky', 'blue', 'mom']",1
"['aw', 'see', 'even', 'nico', 'nott', 'want', 'go', 'near', 'like', 'try', 'typeall', 'ghetto', 'dont', 'fucking', 'scare', 'bitch', 'ill', 'fucking', 'kill', 'faught', 'probably', 'bring', 'ghetto', 'friends', 'bahahaha', 'would', 'bella', 'kendall', 'pff', 'actually', 'would', 'love', 'go', 'near', 'im', 'kind', 'asshole', 'puts', 'sort', 'unfair', 'pressure', 'girl', 'shut', 'fuck', 'hardcore', 'cunt', 'probably', 'know', 'nothing', 'fighting', 'im', 'sure', 'get', 'fucked', 'real', 'fight', 'stop', 'acting', 'badass', 'go', 'aay', 'unless', 'gon', 'na', 'stop', 'bitch', 'something']",1
"['make', 'mad', 'tonsssss', 'hate', 'groups', 'myspace', 'care', 'anymore']",1
"['yu', 'dam', 'lyee', 'mikey', 'yu', 'kno', 'ya', 'mom', 'behh', 'tearn', 'ya', 'asz', 'lmfao', 'wea', 'yew', 'get', 'dat']",1
"['lip', 'u', 'get', 'pierced', 'dominic', 'asshole', '3']",1
"['support', 'wish', 'youd', 'dating', 'someone', 'actually', 'cute', 'dating', 'big', 'ass', 'beyond', 'cute', 'beautiful', 'im', 'dating', 'yet', 'wrong', 'reasons', 'liking']",1
"['oh', 'isss', 'faggot', 'isayah', 'goin', 'bee', 'der', 'mom', 'gon', 'na', 'fuckk', 'bugg', 'takes', 'faggot', 'know', 'faggot', 'hunnyyy']",1
"['fagggggg', 'bitchhhhh']",1
"['lmao', 'cant', 'spell', 'becuz', 'fuking', 'wrry', 'thanx', 'hell', 'write', 'like', '4th', 'grader', 'worrying', 'vvv', 'letting', 'know', 'cool', 'following', 'trying', 'hang', 'people', 'older', 'mkay', 'mature']",1
"['wan', 'na', 'fuck', 'oh', 'thank']",1
"['fucked', 'anthony', 'u', 'dumb', 'hoe', 'bitch', 'tell', 'u', 'im', 'hesica', 'haha', 'false']",1
"['youre', 'ugly', 'stop', 'talking']",1
"['picture', 'looks', 'shopped', 'told', 'monitor', 'punch', 'face', 'like']",1
"['wan', 'na', 'fuck', 'oh', 'thank']",1
"['yoo', 'im', 'telling', 'yall', 'dnt', 'mess', 'wit', 'kuszinn', 'kus', 'play', 'repeat', 'dooooo', 'nottt', 'w', 'e', 'tld', 'shut', 'dwn', 'like', 'really']",1
"['means', 'nothing', 'anymore', 'person', 'shed', 'talked', 'c', 'u', 'n', 'like', 'normal', 'suppose', 'happened', 'person', 'shed', 'ay', 'ay', 'ay', 'think', 'rosie', 'need', 'sort', 'think', 'louise', 'need', 'sort', 'without', 'use', 'questions']",1
"['bushwhacking', 'alchy', 'piece', 'shit', 'scrub', 'blocked']",1
"['listen', 'song', 'big', 'weenie', 'eminem', 'describes', 'much', 'everyone', 'feels', 'way', 'towards', 'xd', 'lol', 'sure', 'describing']",1
"['would', 'u', 'go', '8th', 'grader', 'named', 'collin', 'stewart', 'nah', 'dont', 'think']",1
"['tootsy', 'eww', 'gonnna', 'kick', 'yoo', 'ass', '0', 'lol']",1
"['know', 'smell', 'like', 'old', 'man', 'ummm', 'nopee', 'didntt', 'butt', 'thankss', 'informing']",1
"['soo', 'thougt', 'cute', 'hate', 'dont', 'talk', 'fuck', 'ca', 'please', 'everyone']",1
"['nigggah', 'isz', 'yuh', 'circumsized', 'kum', 'luk', 'bxtch']",1
"['hey', 'dont', 'go', 'kill', 'alot', 'ppl', 'would', 'really', 'happy', 'would', 'wan', 'na']",1
"['bxtchh', 'yew', 'twakinqq', 'tew', 'lol', 'yew', 'duh']",1
"['headache', 'would', 'give', 'came', 'door', 'told', 'one', 'penis']",1
"['bushwhacking', 'alchy', 'piece', 'shit', 'scrub', 'blocked']",1
"['hate', 'ur', 'fucking', 'guts', 'u', 'lindsey', 'grossest', 'thing', 'ive', 'ever', 'seen', 'haha', 'nothing', 'special', 'us', 'shut', 'mouth', 'better', 'depending', 'girl', 'haha']",1
"['i', ""'m"", 'fake', 'r', 'sorry', 'liar']",1
"['agreee', 'stop', 'slut', 'act', 'ur', 'age', 'pathetic', 'get', 'life', 'dont', 'know', 'suck', 'dick', 'r', 'r', 'peace', 'bitch', 'r', 'laura', '3']",1
"['really', 'rude', 'heck', 'problem', 'dunno']",1
"['r', 'u', 'bitchh', 'hate', 'u', 'i', ""'m"", 'gon', 'na', 'kick', 'ur', 'ass', 'whore', 'bitch', 'anonymous', 'honestly', 'think', 'care', 'low', 'life', 'ass', 'hates', 'probably', 'talk', 'shut']",1
"['dudde', 'ima', 'fuuck', 'til', 'bleed', 'haha', 'sorry', 'i', ""'m"", 'sort', 'thing']",1
"['please', 'stop', 'harassing', 'formspring', 'harass', 'people', 'formspring', 'stop', 'harassing', 'keep', 'leaving', 'anonymousness', 'page', 'r', 'keep', 'negative', 'thoughts', 'fs', 'please', 'thank', 'much']",1
"['yeah', 'sorry', 'wierd', 'mood', 'haha', 'p', 'oooh', 'bio', 'says', 'love', 'dirty', 'questions', 'hmmm', 'ok', 'heres', 'one', 'ever', 'fucked', 'guy']",1
"['would', 'say', 'gay', 'cool', 'l', 'ummm', 'would']",1
"['fffff', 'uuuu', 'lets', 'go', 'fair']",1
